,,Unnamed: 0,song,album,lyrics
75,75,75,Milk Milk Lemonade,,"Milk, milk, lemonade
Round the back, where chocolate's made
Milk, milk, lemonade
Round the back, where chocolate's made
Milk, milk, lemonade
Round the back, where chocolate's made
Milk, milk, lemonade
Round the back, where chocolate's made
I know you're thirsty, baby, standing in the heat
I've got the juicy fruit, those sweet peaches and cream
You wanna wet your whistle, come and have a drink (ice cold)
Cool as a cucumber, you're coming on to me
You say ""You got the ripest melons on the street""
My honeydew and your banana make a treat
[Pre-Chorus]
'Cause baby, don't you know all the boys are jelly of you?
But first comes, first serve
Don't you know that it's so delicious, yummy and new
But first comes, first serves, so bottoms up!
Milk, milk, lemonade
Round the back, where chocolate's made
Milk, milk, lemonade
Round the back, where chocolate's made
Milk, milk, lemonade
Round the back, where chocolate's made
Milk, milk, lemonade
Round the back, where chocolate's made
You'll have to count your calories when you're with me
Because my sugar gonna give you cavities
Don't wanna share me 'cause I'm such a tasty treat (yum, yum)
I'll let you double dip it in your favorite sauce
I'll even let you eat the cherry on the top
You'll beg for seconds in a diabetic shock (what?)
[Pre-Chorus]
'Cause baby, don't you know all the boys are jelly of you?
But first comes, first serve
Don't you know that it's so delicious, yummy and new
But first comes, first serves, so bottoms up!
Milk, milk, lemonade
Round the back, where chocolate's made
Milk, milk, lemonade
Round the back, where chocolate's made
Milk, milk, lemonade
Round the back, where chocolate's made
Milk, milk, lemonade
Round the back, where chocolate's made
Open 24 hours, more than 31 flavors
To satisfy your craving
I know you're sick of the Kool-Aid, I got your upgrade
One sip, you'll be salivating
Milk, milk, lemonade
Round the back, where chocolate's made
Milk, milk, lemonade
Round the back, where chocolate's made
Milk, milk, lemonade
Round the back, where chocolate's made
Milk, milk, lemonade
Round the back, where chocolate's made"
76,76,76,Self Inflicted,,"Remember when I dove into the crowd
And I got a bloody knee under my skin?
A mark from wiping out
It brings back the memories
Every bone's been broken, but my heart is still wide open
I can't stop, don't care if I lose
Baby, you are the weapon I choose
These wounds are self inflicted
I'm going down in flames for you
Baby, you are the weapon I choose
These wounds are self inflicted
One more thing I'm addicted to
With each scar, there's a map that tells a story
What a souvenir of young love's like jumping out
An airplane riding a tidal wave of an ocean of emotion
My heart rips me wide open
I can't stop, don't care if I lose
Baby, you are the weapon I choose
These wounds are self inflicted
I'm going down in flames for you
Baby, you are the weapon I choose
These wounds are self inflicted
One more thing I'm addicted to
And I cover up these scars
(We'll make it, we'll make it, but we break it)
And I can't stop seeing stars
(Let's hope, not die)
Whenever you're around, around
I can't stop, don't care if I lose
Baby, you are the weapon I choose
These wounds are self inflicted
I'm going down in flames for you
Baby, you are the weapon I choose
These wounds are self inflicted
One more thing I'm addicted to
I can't stop
No, I can't stop
No, I can't stop
Oh, I'm going out in flames
Oh, I'm going down in flames
Ohh
Baby, you are the weapon I choose
Baby, you are the weapon I choose"
77,77,77,Last Friday Night (T.G.I.F.) [Remix],,"[Intro: Missy Elliott]
Ayo, Katy! Let’s hit 'em with the remix, baby
(T.G.I.F., T.G.I.F., T.G.I.F.)
Aw, let’s go!
[Verse 1: Missy Elliott]
It’s a Friday night, now here we go
I ain’t no stripper, but I work the pole
Bartender, can you pour some mo'?
And I’m so tipsy, coming out my clothes
Fly high, high, high, and I can’t see, so I can’t drive
I party 'til I’m out my mind
I kiss on him, but he don’t mind
Then I wake up in the morn
I got a guy in my bed, like: ""Hello, good morn""
Don’t remember how I got him home
But Friday night, it was nice and long
[Chorus: Katy Perry]
Last Friday night
Yeah, we danced on tabletops
And we took too many shots
Think we kissed, but I forgot
Last Friday night
Yeah, we maxed our credit cards
And got kicked out of the bar, so we hit the boulevard
Last Friday night
We went streaking in the park
Skinny dipping in the dark, then had a ménage à trois
Last Friday night
Yeah, I think we broke the law
Always say we're going to stop-op, oh whoa
[Post-Chorus: Katy Perry]
But this Friday night, do it all again
This Friday night, do it all again
[Verse 2: Katy Perry]
Trying to connect the dots
Don't know what to tell my boss
Think the city towed my car
Chandelier is on the floor
Ripped my favorite party dress
Warrant's out for my arrest
Think I need a ginger ale
That was such an epic fail
[Pre-Chorus: Katy Perry]
Pictures of last night ended up online
I'm screwed, oh well
It's a blacked out blur, but I'm pretty sure it ruled
Damn
[Chorus: Katy Perry]
Last Friday night
Yeah, we danced on tabletops
And we took too many shots
Think we kissed, but I forgot
Last Friday night
Yeah, we maxed our credit cards
And got kicked out of the bar, so we hit the boulevard
Last Friday night
We went streaking in the park
Skinny dipping in the dark, then had a ménage à trois
Last Friday night
Yeah, I think we broke the law
Always say we're going to stop-op, oh whoa
[Post-Chorus: Katy Perry]
But this Friday night, do it all again (Do it all again)
This Friday night, do it all again (Do it all again)
[Interlude: Missy Elliott]
T.G.I.F., T.G.I.F
(Let’s do this shit like every weekend)
T.G.I.F., T.G.I.F., T.G.I.F
(Now pour my drink, 'til there ain’t nothing left)
T.G.I.F., T.G.I.F., T.G.I.F
[Chorus: Katy Perry]
Last Friday night
Yeah, we danced on tabletops
And we took too many shots
Think we kissed, but I forgot
Last Friday night
Yeah, we maxed our credit cards
And got kicked out of the bar, so we hit the boulevard
Last Friday night
We went streaking in the park
Skinny dipping in the dark, then had a ménage à trois
Last Friday night
Yeah, I think we broke the law
Always say we're gonna stop-op, oh whoa
[Post-Chorus: Katy Perry]
But this Friday night, do it all again"
78,78,78,A Cup of Coffee,,"I take these turns a bit too fast
Trying to leave you in my past
The CD skips our favorite songs
Our greatest hits just don't belong
I really love to hate this
Love hate, hate love relationships
[Pre-Chorus]
Are overrated
Over my dead body is how this will end
You said it's over
And I could go for another chance to do this over again
So this is it?
After all we've been through
We called it quits
And I'm about to
I lost my grip
On what little I had left
You said it's over
And I could really go for a cup of coffee and an overdose
Leave it all behind me
You'll see it when you finally find me
Comatose or pretty close
Cup of coffee and an overdose
I pop these pills like cracker jacks
And the prize, the glazed eyes
Just watching you react
When you're depressed you sleep too much
I'm not sure if I'm waking up
[Pre-Chorus]
It's overrated
Over my dead body is how this will end
You said it's over
And I could go for another chance to do this over again
So this is it?
After all we've been through
We called it quits
And I'm about to
I lost my grip
On what little I had left
You said it's over
And I could really go for a cup of coffee and an overdose
Leave it all behind me
You'll see it when you finally find me
Comatose or pretty close
Cup of coffee and an overdose
You said it's over
And I could really go for a cup of coffee and an overdose
Leave it all behind me
You'll see it when you finally find me
Comatose or pretty close
I stood in line without you, oh
I stood in line without you, I, I-I-I-I
I stood in line
(I stood in line without you and I don't tell you what they ever thought)
I stood in line without you (About you)
I stood in line without you (Well without you)
I stood in line without you (Is everything I've got)
(I stood in line without you and I don't tell you all they ever thought about you)
And only, only ever thought about your pretty face
(Well, without you is everything I've got)
(I stood in line without you)"
79,79,79,Bon Appétit (Solo Version),,"'Cause I'm all that you want, boy
All that you can have, boy
Got me spread like a buffet
Bon app, bon appétit, baby
Appetite for seduction
Fresh out the oven
Melt in your mouth kind of lovin'
Bon app, bon appétit, baby
Looks like you've been starving
You've got those hungry eyes
You could use some sugar
'Cause your levels ain't right
I'm a five-star Michelin
A Kobe flown in
You want what I'm cooking, boy
[Pre-Chorus]
Let me take you
Under candle light
We can wine and dine
A table for two
And it's okay
If you take your time
Eat with your hands, fine
I'm on the menu
'Cause I'm all that you want, boy
All that you can have, boy
Got me spread like a buffet
Bon app, bon appétit, baby
Appetite for seduction
Fresh out the oven
Melt in your mouth kind of lovin'
Bon app, bon appétit, baby
So you want some more
Well I'm open 24
Wanna keep you satisfied
Customer's always right
Hope you've got some room
For the world's best cherry pie
Gonna hit that sweet tooth, boy
[Pre-Chorus]
Let me take you
Under candle light
We can wine and dine
A table for two
And it's okay
If you take your time
Eat with your hands, fine
I'm on the menu
Go ahead
'Cause I'm all that you want, boy
All that you can have, boy
Got me spread like a buffet
Bon app, bon appétit, baby
Appetite for seduction
Fresh out the oven
Melt in your mouth kind of lovin'
Bon app, bon appétit, baby
'Cause I'm all that you want, boy
All that you can have, boy
Got me spread like a buffet
Bon app, bon appétit, baby
Appetite for seduction
Fresh out the oven
Melt in your mouth kind of lovin'
Bon app, bon appétit, baby
Ah, ah, ah, ah
Woo!
Ah ah, go ahead
Under candle light (under candle light)
We can wine and dine (we can wine and dine)
Please just take your time
Eat with your hands fine
I'm on the menu
Woah, oh, oh, oh, oh, oh
Go ahead
'Cause I'm all that you want, boy
All that you can have, boy
Got me spread like a buffet
Bon app, bon appétit, baby
Appetite for seduction
Fresh out the oven
Melt in your mouth kind of lovin'
Bon app, bon appétit, baby
Woop!
Oh, yeah, yeah
Bon app, bon appétit, baby
Woop!"
80,80,80,I Think I’m Ready,,"I'm used to opening my own doors and splitting the checks
He introduced me, was always just the friend
I bought a new dress, he never noticed
Always falling for these bad boys, such a challenge
I'm getting tired, of cleaning up after them
I think I'm ready to be a woman
Oh, love, I think I'm ready, ready for it
You were such a surprise
An unexpected gift
Said I was pretty, and I believed it
Not really used to all this attention
Told myself I don't deserve you
And this is just a phase
Could I get used to, being loved the right way?
I want to argue, but there is nothing to say
Oh, love, I think I'm ready, ready for it
(Ready for it)
Oh, love, I think I'm ready
'Cause you send me flowers when there's no occasion
Yeah, we talk for hours, you still want to listen
Won't hold it against me if I just need you to hold me tonight
My mother always told me that you'd show up one day
So scared to feel this way
But, love, I think I'm ready, ready for it
(Ready for it)
Oh, love, I think I'm ready, ready for it
(Ready for it)
Oh, love, I think I'm ready"
81,81,81,Passenger,,"I can't let go of control
I can't let go and not know
Don't know the way ahead of me
One day at a time is all I need
There was a time without trust
There was a time without love
But it took you to show me
That I could hand over the keys
I'll let you lead the way now
Cause I want you to take the wheel
I've never been a passenger, no
I never knew how good it would feel
The road will twist and turn but
I know that I am in good hands
I've never been a passenger, no
But we'll see more without a map
Without a map, without a map, without a map
So let's take a walk and get lost
Let's take a chance on finding us
I wanna see the world with you
Every step feels so brand new
It's hard to jump with no net
But I've jumped and I got no regret
You're my co-pilot, yeah that’s right
Now I can just enjoy the ride
I'll let you lead the way now
Cause I want you to take the wheel
I've never been a passenger, no
I never knew how good it would feel
The road will twist and turn but
I know that I am in good hands
I've never been a passenger, no
But we'll see more without a map (life is beautiful)
Without a map, without a map, without a map (life is beautiful, life is beautiful, life is beautiful)
I know we're finally falling
Cause I was giving you half no more than
My hand's in the air while you're driving
This is living, this is living, this is living
Oh it's beautiful, beautiful
Being with you, being with you
I'll let you lead the way now
Cause I want you to take the wheel
I've never been a passenger, no
I never knew how good it would feel
The road will twist and turn but
I know that I am in good hands
I've never been a passenger, no
But we'll see more without a map
Without a map, without a map, without a map (life is beautiful, life is beautiful, life is beautiful)
Without a map, without a map, without a map (life is beautiful, life is beautiful, life is beautiful)"
82,82,82,I Kissed a Girl (Remix),,"[Katy Perry (MIMS in background)]
This was never the way I planned
Not my intention (Look)
[Rap Verse 1: MIMS]
Since my girl kissed a girl
I guess I can do the same thang
Call me John Witherspoon
Bedroom
Bang-bang
Me and Mrs. Jane-Jane
Watch us do our thang
They say I only name one
But they both got the same name (Same name)
They call me Big Daddy, but I ain't Cane/Kane
I got a homeless personality
I can't change
I mean I'm so on top, it's like another world
I am MIMS
A.K.A
Mr. My-Girl-Kissed-Another-Girl
(Verse 1)
This was never the way I planned
Not my intention
I got so brave, drink in hand
Lost my discretion
It's not what
I'm used to
Just wanna try you on
I'm curious for you
Caught my attention
Chorus: Katy Perry
I kissed a girl and I liked it
The taste of her cherry chap stick
I kissed a girl just to try it
I hope my boyfriend don't mind it
It felt so wrong
It felt so right
Don't mean I'm in love tonight
I kissed a girl and I liked it
I liked it
(Verse 2)
No, I don't even know your name
It doesn't matter
You're my experimental game
Just human nature
It's not what
Good girls do
Not how they should behave
My head gets so confused
Hard to obey
Repeat Chorus
Bridge: Katy Perry
Us girls, we are so magical
Soft skin, red lips, so kissable
Hard to resist, so touchable
Too good to
Deny it
Ain't no big deal, it's innocent
[Rap Verse 2: MIMS]
My Girl Gotta Girlfriend, she said she kissed a girl
Won't fill me no details, cause she don't, kiss and tell
Man, I'm in a different world
Is this heaven, is this hell
Some say I'm a lucky man like I fell into a wishing well
Even though I'm livin' well
Somethin' just ain't sittin' well
She gettin' more play than me
Every night, it's a different girl
But I don't mind it
I find it
Somethin' sort of excitin'
My girl kissed a girl, and guess what
She liked it (Liked it)
Repeat Chorus"
83,83,83,Chained to the Rhythm (Hot Chip Remix),,"[Intro & Chorus: Katy Perry]
Chained to the rhythm
To the rhythm
To the rhythm
To the rhythm
Turn it up, it's your favorite song
Turn it up, keep it on repeat
This one is on me
We're all chained to the rhythm
To the rhythm
To the rhythm
Rhythm
Turn it up turn it up, yeah
Alright, don't you get on now
Chained to the rythm (to the rythm)
Chained to the rythm (to the rythm)
It goes on, and on, and on
It goes on, and on, and on
It goes on, and on, and on
'Cause we're all chained to the rhythm
Turn it up, Turn it up up
Turn it up, Turn it up up
Turn it up, Turn it up up
[Verse 1: Katy Perry]
Are we crazy?
Living our life through a lens
Trapped in our white picket fence
Like ornaments
So comfortable, we're living in a bubble, bubble
So comfortable, we cannot see the trouble, trouble
Aren't you lonely
Up there in utopia
Where nothing will ever be enough?
Happily numb
So comfortable, we're living in a bubble, bubble
So comfortable, we cannot see the trouble, trouble
[Pre-Chorus: Katy Perry]
So put your rose-colored glasses on
And party on
[Chorus: Katy Perry]
Turn it up
Dance, dance, dance to the distortion
Turn it up
Stumbling around like a wasted zombie
Drink, this one is on me
We're all chained to the rhythm
To the rhythm
To the rhythm
Turn it up
Dance, dance, dance to the distortion
Turn it up
Stumbling around like a wasted zombie
Yeah, we think we're free
Drink, this one is on me
We're all chained to the rhythm
To the rhythm
To the rhythm
[Verse 2: Katy Perry]
Are we tone deaf?
Keep sweeping it under the mat
Thought we could do better than that
I hope we can
So comfortable, we're living in a bubble, bubble
So comfortable, we cannot see the trouble, trouble
[Pre-Chorus: Katy Perry]
So put your rose-colored glasses on
And party on
[Chorus: Katy Perry]
Turn it up
Dance, dance, dance
Turn it up
Keep it on repeat
Like a wasted zombie
Yeah, we think we're free
Drink, this one is on me
We're all chained to the rhythm
To the rhythm
To the rhythm
Turn it up, it's your favorite song
Dance, dance, dance
Turn it up
Keep it on repeat
Yeah, we think we're free
This one is on me
We're all chained to the rhythm
To the rhythm
To the rhythm
[Bridge: Skip Marley]
It is my desire
Break down the walls to connect, inspire
Ay, up in your high place, liars
Time is ticking for the empire
The truth they feed is feeble
As so many times before
They greed over the people
They stumbling and fumbling
And we're about to riot
They woke up, they woke up the lions
(Woo!)
[Chorus 2: Katy Perry & Skip Marley]
We're all chained to the rhythm
To the rhythm
To the rhythm
It goes on, and on, and on
It goes on, and on, and on
It goes on, and on, and on
'Cause we're all chained to the rhythm
Turn it up, it's your favorite song
Dance, dance, dance to the distortion (turn it up, turn it up yeah)
Stumbling around like a wasted zombie (like a wasted zombie)
Yeah, we think we're free
Drink, this one is on me
We're all chained to the rhythm
To the rhythm
To the rhythm
It goes...it goes on and on and on
It goes on and on and on, on and on it goes
All chained to the rhythm
Turn it up, Turn it up up
Turn it up, Turn it up up
Turn it up, Turn it up up
Turn it up, Turn it up up
Turn it up, Turn it up up
Turn it up, Turn it up up
Turn it up, Turn it up up"
84,84,84,Save Me Some Tonight,,"So break out the frame you’re in
Find that adrenaline
Whatever advice you like
Just save me some tonight"
85,85,85,Light The Darkness,,TBA
86,86,86,Tommie Sunshine’s Megasix Smash-Up,,"[Intro: Katy Perry & Snoop Dogg]
Greetings, loved ones
Let's take a journey
Yeah, the one, uh huh
Baby, you're a California girl
Teenage Dream
[Verse: Katy Perry]
Let's go all the way tonight
No regrets, just love
We can dance until we die
You and I, we'll be young forever
[Chorus: Katy Perry]
You make me feel like I'm living a teenage dream
The way you turn me on
I can't sleep
Let's run away and don't ever look back
Don't ever look back
My heart stops when you look at me
Just one touch
Now baby, I believe this is real
So take a chance and don't ever look back
Don't ever look back
[Bridge: Katy Perry]
I'mma get your heart racing in my skin-tight jeans
Be your teenage dream tonight
Let you put your hands on me in my skin-tight jeans
Be your teenage dream tonight
You...
California Girls
[Verse: Katy Perry]
I know a place where the grass is really greener
Warm, wet and wild
There must be something in the water
[Pre-Chorus: Katy Perry]
You could travel the world
But nothing comes close to the golden coast
Once you party with us
You'll be falling in love
Oh-oh-oh-oh-oh-oh
[Chorus: Katy Perry]
California girls, we're unforgettable
Daisy Dukes, bikinis on top
Sun-kissed skin so hot, we'll melt your popsicle
Oh-oh-oh-oh-oh, oh-oh-oh-oh-oh-oh-oh
California girls, we're undeniable
Fine, fresh, fierce, we got it on lock
West Coast represent, now put your hands up
Oh-oh-oh-oh
The One That Got Away
[Chorus: Katy Perry]
In another life, I would be your girl
We'd keep all our promises, be us against the world
In another life, I would make you stay
So I don't have to say you were the one that got away
The one that got away
[Interlude: Katy Perry]
The one, the one, the one
[Chorus: Katy Perry]
In another life, I would make you stay
So I don't have to say you were the one that got away
Last Friday Night (T.G.I.F.)
[Verse: Katy Perry]
There's a stranger in my bed
There's a pounding in my head
Glitter all over the room
Pink flamingos in the pool
I smell like a minibar
DJ's passed out in the yard
Barbie's on the barbeque
This a hickie or a bruise?
[Pre-Chorus: Katy Perry]
Pictures of last night ended up online
I'm screwed, oh well
It's a blacked out blur, but I'm pretty sure it ruled
Damn
[Chorus​​: Katy Perry]
Last Friday night
Yeah, we danced on tabletops
And we took too many shots
Think we kissed, but I forgot
Last Friday night
Yeah, we maxed our credit cards
And got kicked out of the bar, so we hit the boulevard
Last Friday night
We went streaking in the park
Skinny dipping in the dark, then had a ménage à trois
Last Friday night
Yeah, I think we broke the law
Always say we're going to stop-op, oh whoa
[Post-Chorus: Katy Perry]
But this Friday night, do it all again
This Friday night, do it all again
[Outro: Katy Perry]
T.G.I.F., T.G.I.F., T.G.I.F
T.G.I.F., T.G.I.F., T.G.I.F
E.T
[Verse: Katy Perry]
You're so hypnotizing
Could you be the devil?
Could you be an angel?
Your touch, magnetizing
Feels like I am floating
Leaves my body glowing
They say be afraid
You're not like the others
Futuristic lover
[Pre-Chorus: Katy Perry]
You're from a whole 'nother world
A different dimension
You open my eyes
And I'm ready to go
Lead me into the light
[Chorus: Katy Perry]
Kiss me, ki-ki-kiss me
Infect me with your loving
Fill me with your poison
Take me, ta-ta-take me
Wanna be your victim
Ready for abduction
Boy, you're an alien
Your touch, so foreign
It's supernatural
Extraterrestrial
Firework
[Verse: Katy Perry]
Do you ever feel like a plastic bag
Drifting through the wind wanting to start again?
Do you ever feel, feel so paper-thin
Like a house of cards, one blow from caving in?
Do you ever feel already buried deep?
Six feet under screams, but no one seems to hear a thing
Do you know that there's still a chance for you?
'Cause there's a spark in you
[Pre-Chorus: Katy Perry]
You just gotta ignite the light
And let it shine
Just own the night
Like the Fourth of July
[Chorus: Katy Perry]
'Cause baby, you're a firework
C'mon, show 'em what you're worth
Make 'em go, ""Aah, aah, aah""
As you shoot across the sky-y-y
[Outro: Katy Perry]
Boom, boom, boom
Even brighter than the moon, moon, moon
Boom, boom, boom
Even brighter than the moon, moon, moon"
87,87,87,Box,,"I was living in a small mind
With no lifeline
And no messages can reach me from the outside
When I looked out over the horizon
Didn't notice the sun was setting or just rising
Then it hit me
Maybe bit me
Then I knew, quite a few would not go with me
I didn't know exactly where I would be going
But I had to let this river in me flowing
What a ride
When you open your eyes
For the very first time
A real surprise
I started living outside of the box
Crossing over lines where I always used to stop
Living outside of the box
'Cause I'm not gonna be anybody that I'm not
I always knew this day would come
When I got off my back, found some motivation
I've been living on the other side
Come hell or high water, every moment I'm alive
I was living on a fault line
The fault was all mine
And this unstable ground found me down half the time
But I had enough
I had to get up
I had to shrug it all off 'cause it's the same old stuff
Then it hit me
You won't permit me
To be an individual
Just doesn't fit me
But I decided that it's going to be living
Yeah, I decided I'm escaping from your prison
[Pre-Chorus]
What a high
When you open your mind for the very first time
A real surprise
I started living outside of the box
Crossing over lines where I always used to stop
Living outside of the box
'Cause I'm not gonna be anybody that I'm not
I always knew this day would come
When I got off my back, found some motivation
I've been living on the other side
Come hell or high water, every moment I'm alive
So long conformity
And ambiguity is a new priority
All it takes, for heaven sakes
Is to figure out the face and learn to separate
I started living outside of the box
Taking my time when I always used to rush
Living outside of the box
Cause I'm not gonna be anybody that I'm not
I always knew this day would come
When I broke down the walls for my liberation
I've been living on the other side
Come hell or high water every moment I'm alive
Oh, living outside of the box
Oh, living outside of the box
Oh, living outside
Ha ha ha
I always knew this day would come
When I got off my back, found some motivation
Oh, living outside of the box
Of the box, of your life
Of everything that seems nice
Oh, living outside of the box"
88,88,88,The One That Got Away (Acoustic),,"Summer after high school, when we first met
We'd make out in your Mustang to Radiohead
And on my 18th birthday we got matching tattoos
Used to steal your parents' liquor and climb to the roof
Talk about our future like we had a clue
Never planned that one day I'd be losing you
In another life, I would be your girl
We'd keep all our promises, be us against the world
In another life, I would make you stay
So I don't have to say you were the one that got away
The one that got away
I was June, and you were my Johnny Cash
Never one without the other, we made a pact
Sometimes when I miss you, I put those records on, whoa
Someone said you had your tattoo removed
Saw you downtown, singing the blues
It's time to face the music, I'm no longer your muse
In another life, I would be your girl
We'd keep all our promises, be us against the world
In another life, I would make you stay
So I don't have to say you were the one that got away
The one that got away
The one, (the one), the one, (the one)
The one, the one, the one, the one, the one
All this money can't buy me a time machine, no
Can't replace you with a million rings, no
I should've told you what you meant to me, whoa
'Cause now I pay the price
In another life, I would be your girl
We'd keep all our promises, be us against the world
In another life, I would make you stay
So I don't have to say you were the one that got away
The one that got away, whoa
In another life, I would make you stay
So I don't have to say you were the one that got away
The one that got away"
89,89,89,Masam Gunah,,"Dressed like an Indian prince baby
You lookin fine and so mighty
Hot cold can I take a bit baby
Be your first fruit burst lady
[Pre-Chorus]
So take it slow
Move my boat
Shake it more
I can take it all
Masam Gunah ah ah
Take it to the next level
If you want another medal
Gunah ah ah
Masam Gunah ah ah"
90,90,90,Attention,,Lyrics to be released soon upon release
91,91,91,Hackensack,,"I used to know you when we were young
You were in all my dreams
We sat together in period one
Fridays at 8:15
Now I see your face in the strangest places
Movies and magazines
Yeah, I saw you talking to Christopher Walken
On my TV screen
But I will wait for you
As long as I need to
And if you ever get back to Hackensack
I'll be here for you
I used to work at the record store
Now I work for my dad
Scraping the paint off of the hardwood floors
The hours are pretty bad
Sometimes I wonder where you are
Probably in L.A
That seems to be where everybody else ends up these days
And I will wait for you
As long as I need to
And if you ever get back to Hackensack
I'll be here for you, yeah
I will wait for you
As long as I need to
And if you ever get back to Hackensack
I'll be here for you
And if you ever get back to Hackensack
I'll be here for you, yeah
Thank you, thank you"
92,92,92,Brick by Brick,,"The weight of my words
Are like feathers from a bird
My mouth, it moves, but you won't hear a thing
'Cause I've dug myself deep
I managed to fit both my hands and feet
All my little white lies
Smell like a big old bucket of bleach
[Pre-Chorus 1]
In one ear and out your other
So lock and key
You won't open up for me
So brick by brick
I am breaking through these walls
Oh, between you and me
I'm not giving up
I'm not giving up on us
And it feels like you're in China
And I am in Peru
Whenever I am sleeping next to you, oh
We can hear the crickets singing
Oh, all throughout the night
Oh, boy can't you just get used to something so right?
[Pre-Chorus 2]
And sure I confess
I'm a mess, I'm a mess of mistakes
But please count to ten before you go and throw it all away
So brick by brick
I am breaking through these walls
Oh, between you and me
I'm not giving up
I'm not giving up on us
'Cause if you give up
Then what am I supposed to do?
All of our dreams never will come true without you
So brick by brick
I am breaking through these walls
Oh, between you and me
I'm not giving up, yeah, yeah, yeah, yeah, yeah, yeah
I'm not giving, giving, yeah, yeah, yeah
I'm not giving, giving, yeah, yeah, yeah
Oh, baby, don't give up on this love"
93,93,93,Long Shot,,"Ah-ah-ah
I felt it, the wire touched my neck and
Then someone pulled it tighter, I never saw it coming
I started to black out and then someone said good mornin'
I took it as a warning, I should've seen it coming
So now I'll take a chance on this thing we may have started
Intentional or not I don't think we saw it coming
It's all addin' up to something
That as for some involvement, that as for a commitment
I think I see it comin' if we stepped out on that limb
[Pre-Chorus]
My heartbeat beats me senselessly
Why's everything gotta be so intense with me?
I'm tryna handle all this unpredictability
In all probability
It's a long shot, but I say why not
If I say forget it, I know that I'll regret it
It's a long shot just to beat the odds
The chance is we won't make it
But I know if I don't take it, there's no chance
'Cause you're the best I've got
So take a long shot
I realize that there is all this doubting
Things we're both scared about that
We'll never see 'em coming, throw caution to the wind and
We'll see which way it's blowing into this fully knowing
We'll never see it coming 'til it's much too close to stop
[Pre-Chorus]
My heartbeat beats me senselessly
Why's everything gotta be so intense with me?
I'm tryna handle all this unpredictability
In all probability
It's a long shot, but I say why not
If I say forget it, I know that I'll regret it
It's a long shot just to beat the odds
The chance is we won't make it
But I know if I don't take it, there's no chance
'Cause I'm the best you've got
So take a long shot
Oh, I waited for fact to come of fiction
And you fit my description
I never saw you coming, but we'll make it even though
It's a long shot, but I say why not
If I say forget it, I know that I'll regret it
It's a long shot just to beat the odds
The chance is we won't make it
But I know if I don't take it, there's no chance
'Cause you're the best I got
So take a long shot
You didn't expect this
Oh, you never saw me coming
You didn't expect this
Oh, you never saw this coming
I take the long shot
I take the long shot, shot, shot, shot, shot, shot
'Cause you're the best I've got
Oh, I’m taking this chance on you, baby
I’m taking this chance on you, baby
I’m taking this chance"
94,94,94,Trust In Me,,"How could I see you when I was so blind?
How could I grasp you when I was far behind?
How could I hear you when I was so deaf?
How could I get up when I had been left?
But You said, don't worry
For I've healed the blind man
And I've set the captives free
And You said, don't worry
For all you've gotta do
Is put your trust in me
How could I be clean when I was so dirty
How could I be made whole when I was torn apart
Make me whole, make me whole
Make me whole again
But You said, don't worry
For I've healed the blind man
And I've set the captives free
And You said, don't worry
For all you've gotta do
Is put your trust in me
But You said, don't worry
For I've healed the blind man
And I've set the captives free
And You said, don't worry
For all you've gotta do
Is put your trust in me
But You said, don't worry
For I've healed the blind man
And I've set the captives free
And You said, don't worry
For all you've gotta do
Is put your trust in me"
95,95,95,Witness (Demo),,"If I lost it all today, what would you take?
Would my love be enough to stimulate?
Shit hit the fan, grenades got thrown
Would you still show, oh?
Could you go down with me to the mat?
Could we get back up beneath and eventually laugh?
[Pre-Chorus]
Oh, I get myself tonight
I get myself tonight, oh
Oh, I get myself tonight
We're all just looking for connection
Yeah, we all want to be seen
I'm looking for someone who speaks my language
Someone to ride this ride with me
Can I get a witness? (witness)
Will you be my witness? (witness)
I'm just looking for a witness in all of this
Looking for a witness to get me through this
When you tell me everything, there's no holes
You can scroll through anything, you've got the codes
Nothing to hide, it's all in their eyes
And we just know, oh
[Pre-Chorus]
Oh, I get myself tonight
I get myself tonight, oh
Oh, I get myself tonight
We're all just looking for connection
Yeah, we all want to be seen
I'm looking for someone who speaks my language
Someone to ride this ride with me
Can I get a witness? (witness)
Will you be my witness? (witness)
I'm just looking for a witness in all of this
Looking for a witness to get me through this
[Instrumental]"
